text,clip_clean_girl_01,clip_medieval_baths_01,clip_diff_clean_minus_medieval,blip_clean_girl_01,blip_medieval_baths_01,blip_diff_clean_minus_medieval
a clean hygienic bathing space,0.23040144,0.22895691,0.0014445335,0.0074185887,-0.029112853,0.03653144
a very clean sanitary environment,0.20763955,0.20858708,-0.00094753504,0.01760303,-0.0056179017,0.023220932
a space for washing and purification,0.19372647,0.24804974,-0.05432327,0.03216435,-0.013148755,0.045313105
a dirty unhealthy place,0.21408024,0.18230468,0.031775564,0.03188878,-0.015453875,0.047342654
a place associated with disease,0.1862513,0.22678807,-0.040536776,0.022440273,-0.024959821,0.047400095
a smelly and unpleasant place,0.18867114,0.2121463,-0.023475155,0.041994482,0.00143148,0.040563002
a beauty and self-care routine,0.28911194,0.21065277,0.07845917,0.033281494,-0.013336353,0.046617847
an everything shower routine,0.27910742,0.20202592,0.0770815,0.045339435,-0.0022425316,0.047581967
a clean girl aesthetic routine,0.27021736,0.17733291,0.09288445,0.007951705,-0.010010175,0.01796188
a minimalist and ascetic self-care ritual,0.27075124,0.22137637,0.049374864,0.009401559,-0.021069437,0.030470997
a place for the poor with limited hygiene,0.21165282,0.21893969,-0.0072868764,0.03803984,-0.014995579,0.05303542
a space used by people in need,0.16134599,0.21560058,-0.05425459,0.0062438026,-0.011400018,0.01764382
